"mgCO2.7"	"mgCO2.14"	"difference"
"BB69"	0.075	0.265	-0.19
"BB70"	0.0925	0.2775	-0.185
"BB71"	0.025	0.225	-0.2
"BB72"	0.0325	0.22	-0.1875
"BB73"	0.04	0.16	-0.12
"BB74"	0.055	0.1825	-0.1275
"BB75"	0.045	0.28	-0.235
"BB76"	0.11	0.2775	-0.1675
"BB77"	0.03	0.2125	-0.1825
"BB78"	0.02	0.23	-0.21
"BB79"	0.105	0.2925	-0.1875
"BB80"	0.09	0.2125	-0.1225
"BB81"	0.06	0.1525	-0.0925
"BB82"	0.09	0.2275	-0.1375
"BB83"	0.07	0.2225	-0.1525
"BB84"	0.105	0.265	-0.16
"BB85"	0.03	0.2575	-0.2275
"BB86"	0.1425	0.3275	-0.185
"BB87"	0.065	0.2725	-0.2075
"BB88"	0.116666666666667	0.206666666666667	-0.09
"BB89"	0.1125	0.195	-0.0825
"BB90"	0.0275	0.2475	-0.22
"BB91"	0.055	0.1975	-0.1425
"BB92"	0.0475	0.3075	-0.26
"BB93"	0.175	0.325	-0.15
"BB94"	0.0475	0.19	-0.1425
"BB95"	0.0575	0.255	-0.1975
"BB96"	0.113333333333333	0.213333333333333	-0.1
"BB97"	0.055	0.21	-0.155
"BB98"	0.1125	0.355	-0.2425
"BB99"	0.055	0.265	-0.21
"BCW01"	0.274	0.316	-0.042
"BCW02"	0.46	0.444	0.016
"BCW03"	0.572	0.448	0.124
"BCW04"	0.464	0.436	0.028
"BCW05"	0.162	0.268	-0.106
"BCW06"	0.26	0.366	-0.106
"BCW07"	0.446	0.38	0.066
"BCW08"	0.212	0.3	-0.088
"BCW09"	0.206	0.286	-0.08
"BCW10"	0.338	0.4	-0.062
"BCW11"	0.468	0.474	-0.00600000000000001
"BCW12"	0.378	0.37	0.00800000000000001
"BCW13"	0.392	0.416	-0.024
"BCW14"	0.186	0.292	-0.106
"BCW15"	0.398	0.37	0.028
"BCW16"	0.418	0.398	0.02
"BCW17"	0.456	0.344	0.112
"BCW18"	0.398	0.396	0.002
"BCW19"	0.374	0.326	0.048
"BCW20"	0.482	0.44	0.0419999999999999
"BCW21"	0.432	0.394	0.038
"BCW22"	0.236	0.27	-0.034
"BCW23"	0.54	0.482	0.058
"BCW24"	0.482	0.408	0.074
"BCW25"	0.388	0.348	0.04
"BCW26"	0.37	0.378	-0.00800000000000001
"BW01"	0.925	0.6525	0.2725
"BW02"	0.9625	1.0175	-0.055
"BW03"	1.11	1.05	0.0599999999999998
"BW04"	0.9625	0.825	0.1375
"BW05"	0.8025	0.6375	0.165
"BW06"	0.775	0.5875	0.1875
"BW07"	0.9625	0.655	0.3075
"BW08"	1.0275	0.6625	0.365
"BW09"	0.7325	0.4975	0.235
"BW10"	0.9325	0.655	0.2775
"BW11"	1.05	0.7275	0.3225
"BW12"	0.905	0.76	0.145
"BW13"	0.9175	0.675	0.2425
"BW14"	0.9575	0.605	0.3525
"BW15"	0.965	0.685	0.28
"BW16"	0.8175	0.505	0.3125
"BW17"	0.79	0.6425	0.1475
"BW18"	0.73	0.6125	0.1175
"BW19"	0.7625	0.8125	-0.05
"BW20"	0.75	0.8375	-0.0874999999999999
"BW21"	0.5425	0.5425	0
"BW22"	0.7325	0.6125	0.12
"BW23"	0.77	0.64	0.13
"BW24"	0.6875	0.4975	0.19
"BWd01"	0.2875	0.28	0.00750000000000001
"BWd02"	0.205	0.385	-0.18
"BWd03"	0.23	0.4	-0.17
"BWd04"	0.2025	0.4025	-0.2
"BWd05"	0.2225	0.4225	-0.2
"BWd06"	0.165	0.3425	-0.1775
"BWd07"	0.19	0.3825	-0.1925
"BWd08"	0.2	0.4175	-0.2175
"CHE01"	0.12	0.163333333333333	-0.0433333333333333
"CHE02"	0.06	0.0666666666666667	-0.00666666666666666
"CHE03"	0.13	0.146666666666667	-0.0166666666666667
"CHE04"	0.0566666666666667	0.06	-0.00333333333333333
"CHE05"	0.0433333333333333	0.13	-0.0866666666666667
"CHE06"	0.06	0.0833333333333333	-0.0233333333333333
"CHE07"	0.04	0.0733333333333333	-0.0333333333333333
"CHE08"	0.09	0.07	0.02
"CHE09"	0.0566666666666667	0.0766666666666667	-0.02
"CHE10"	0.0533333333333333	0.06	-0.00666666666666666
"CHE11"	0.06	0.116666666666667	-0.0566666666666667
"CHE12"	0.0633333333333333	0.0533333333333333	0.01
"CHE13"	0.05	0.0633333333333333	-0.0133333333333333
"CHE14"	0.16	0.226666666666667	-0.0666666666666667
"HW01"	0.665	0.57	0.0950000000000001
"HW02"	0.895	0.9675	-0.0725
"HW03"	0.9325	0.77	0.1625
"HW04"	0.6675	0.5175	0.15
"HW05"	1.005	0.685	0.32
"HW06"	1.0825	0.7725	0.31
"HW07"	0.9475	0.8325	0.115
"HW08"	0.68	0.5125	0.1675
"HW09"	0.8725	0.6075	0.265
"HW10"	0.91	0.7325	0.1775
"HW11"	1.1	0.8325	0.2675
"HW12"	1.035	0.7925	0.2425
"HW13"	0.99	0.6525	0.3375
"HW14"	1.035	0.9475	0.0874999999999999
"HW15"	0.9225	0.7325	0.19
"HW16"	1.0925	0.725	0.3675
"LW01"	0.3025	0.335	-0.0325
"LW02"	0.315	0.4225	-0.1075
"LW03"	0.3225	0.3325	-0.01
"LW04"	0.3825	0.4075	-0.025
"LW05"	0.2925	0.2925	0
"LW06"	0.45	0.31	0.14
"LW07"	0.52	0.4175	0.1025
"LW08"	0.44	0.4075	0.0325
"LW09"	0.365	0.38	-0.015
"LW10"	0.385	0.245	0.14
"LW11"	0.4025	0.4525	-0.05
"LW12"	0.4025	0.4125	-0.00999999999999995
"OWW01"	0.39	0.2525	0.1375
"OWW02"	0.27	0.385	-0.115
"OWW03"	0.2325	0.3275	-0.095
"OWW04"	0.255	0.415	-0.16
"OWW05"	0.29	0.45	-0.16
"OWW06"	0.4175	0.4975	-0.08
"OWW07"	0.515	0.555	-0.04
"OWW08"	0.3475	0.4875	-0.14
"OWW09"	0.5625	0.4425	0.12
