"Group.1"	"x"
"337"	"BWd08"	0.2
"338"	"CHE01"	0.12
"339"	"CHE02"	0.06
"340"	"CHE03"	0.13
"341"	"CHE04"	0.0566666666666667
"342"	"CHE05"	0.0433333333333333
"343"	"CHE06"	0.06
"344"	"CHE07"	0.04
"345"	"CHE08"	0.09
"346"	"CHE09"	0.0566666666666667
"347"	"CHE10"	0.0533333333333333
"348"	"CHE11"	0.06
"349"	"CHE12"	0.0633333333333333
"350"	"CHE13"	0.05
"351"	"CHE14"	0.16
"352"	"HW01"	0.665
"353"	"HW02"	0.895
"354"	"HW03"	0.9325
"355"	"HW04"	0.6675
"356"	"HW05"	1.005
"357"	"HW06"	1.0825
"358"	"HW07"	0.9475
"359"	"HW08"	0.68
"360"	"HW09"	0.8725
"361"	"HW10"	0.91
"362"	"HW11"	1.1
"363"	"HW12"	1.035
"364"	"HW13"	0.99
"365"	"HW14"	1.035
"366"	"HW15"	0.9225
"367"	"HW16"	1.0925
"368"	"LW01"	0.3025
"369"	"LW02"	0.315
"370"	"LW03"	0.3225
"371"	"LW04"	0.3825
"372"	"LW05"	0.2925
"373"	"LW06"	0.45
"374"	"LW07"	0.52
"375"	"LW08"	0.44
"376"	"LW09"	0.365
"377"	"LW10"	0.385
"378"	"LW11"	0.4025
"379"	"LW12"	0.4025
"380"	"OWW01"	0.39
"381"	"OWW02"	0.27
"382"	"OWW03"	0.2325
"383"	"OWW04"	0.255
"384"	"OWW05"	0.29
"385"	"OWW06"	0.4175
"386"	"OWW07"	0.515
"387"	"OWW08"	0.3475
"388"	"OWW09"	0.5625
"389"	"OWW10"	0.48
"390"	"OWW11"	0.22
"391"	"OWW12"	0.16
"392"	"OWW13"	0.2525
"393"	"OWW14"	0.1325
"394"	"OWW15"	0.215
"395"	"OWW16"	0.2225
"396"	"PH01"	0.225
"397"	"PH02"	0.1575
"398"	"PH03"	0.1475
"399"	"PH04"	0.2675
"400"	"PH05"	0.2675
"401"	"PH06"	0.2025
"402"	"PH07"	0.145
"403"	"PH08"	0.1325
"404"	"PH09"	0.13
"405"	"PH10"	0.1525
"406"	"PH11"	0.185
"407"	"PH12"	0.1525
"408"	"PH13"	0.14
"409"	"PH14"	0.135
"410"	"PH15"	0.125
"411"	"PH16"	0.1075
"412"	"PH17"	0.0975
"413"	"PH18"	0.1
"414"	"PH19"	0.1025
"415"	"PH20"	0.1025
"416"	"PH21"	0.0975
"417"	"PH22"	0.1125
"418"	"PH23"	0.1
"419"	"PH24"	0.085
"420"	"RDM01"	0.05
"421"	"SAC01"	0.11
"422"	"SAC02"	0.1625
"423"	"SAC03"	0.2025
"424"	"SAC04"	0.2275
"425"	"SAC05"	0.1725
"426"	"SAC06"	0.1775
"427"	"SAC07"	0.145
"428"	"SAC08"	0.19
"429"	"SAC09"	0.0775
"430"	"SAC10"	0.135
"431"	"SAC11"	0.21
"432"	"SAC12"	0.1825
"433"	"SAC13"	0.15
"434"	"SAC14"	0.18
"435"	"SAC15"	0.1275
"436"	"SAC16"	0.1825
"437"	"SNG01"	0.305
"438"	"SNG02"	0.3225
"439"	"SP01"	0.06
"440"	"SP02"	0.106666666666667
"441"	"SP03"	0.15
"442"	"SP04"	0.12
"443"	"SP05"	0.13
"444"	"SP06"	0.06
"445"	"SP07"	0.146666666666667
"446"	"SP08"	0.123333333333333
"447"	"SP09"	0.176666666666667
"448"	"SP10"	0.31
"449"	"SP11"	0.39
"450"	"SP12"	0.3075
"451"	"SP13"	0.3075
"452"	"SP14"	0.295
"453"	"SP15"	0.3075
"454"	"SP16"	0.2025
"455"	"SP17"	0.2075
"456"	"WEL01"	0.1325
"457"	"WEL02"	0.2625
"458"	"WEL03"	0.16
"459"	"WEL04"	0.1775
"460"	"WEL05"	0.16
"461"	"WEL06"	0.1475
"462"	"WEL07"	0.17
"463"	"WEL08"	0.1575
"464"	"WEL09"	0.1075
"465"	"WEL10"	0.1375
"466"	"WEL11"	0.1475
"467"	"WEL12"	0.17
"468"	"WEL13"	0.2
"469"	"WEL14"	0.175
"470"	"WEL15"	0.1375
"471"	"WEL16"	0.1275
"472"	"WEL17"	0.1125
"473"	"WEL18"	0.2025
"474"	"WEL19"	0.1525
"475"	"WEL20"	0.1475
"476"	"WEL21"	0.125
"477"	"WEL22"	0.1475
"478"	"WEL23"	0.1375
"479"	"WEL24"	0.1225
"480"	"WEL25"	0.23
"481"	"WEL26"	0.1975
"482"	"WF01"	0.1925
"483"	"WF02"	0.3375
"484"	"WF03"	0.2525
"485"	"WF04"	0.23
"486"	"WF05"	0.1975
"487"	"WF06"	0.21
"488"	"WF07"	0.1975
"489"	"WGP01"	0.035
"490"	"WGP02"	0.06
"491"	"WGP03"	0.0325
"492"	"WGP04"	0.0675
"493"	"WGP05"	0.06
"494"	"WGP06"	0.0625
"495"	"WGP07"	0.0475
"496"	"WGP08"	0.065
"497"	"WGP09"	0.0675
"498"	"WGP10"	0.13
"499"	"WGP11"	0.0575
"500"	"WGP12"	0.1275
"501"	"WGP13"	0.135
"502"	"WGP14"	0.203333333333333
"503"	"WGP15"	0.176666666666667
"504"	"WGP16"	0.0866666666666667
"505"	"WGP17"	0.1125
"506"	"WGP18"	0.135
"507"	"WGP19"	0.215
"508"	"WGP20"	0.085
"509"	"WiW01"	0.2925
"510"	"WiW02"	0.43
"511"	"WiW03"	0.535
"512"	"WiW04"	0.465
"513"	"WiW05"	0.465
"514"	"WiW06"	0.3075
"515"	"WiW07"	0.2825
"516"	"WiW08"	0.2925
"517"	"WiW09"	0.3275
"518"	"WiW10"	0.37
"519"	"WiW11"	0.4
"520"	"WiW12"	0.41
"521"	"WiW13"	0.395
"522"	"WiW14"	0.36
"523"	"WiW15"	0.35
"524"	"WiW16"	0.285
"525"	"WiW17"	0.23
"526"	"WiW18"	0.235
"527"	"WiW19"	0.45
"528"	"WiW20"	0.3025
"529"	"WiW21"	0.2875
"530"	"WiW22"	0.55
"531"	"WiW23"	0.315
"532"	"WiW24"	0.355
"533"	"WiW25"	0.28
"534"	"WiW26"	0.3375
"535"	"WiW27"	0.48
"536"	"WiW28"	0.38
